system,report_date,KPI name,kpi_text,status_name,status_symbol,source_file,severity,row_id
Q1C,2025-12-15,Financial Data Quality,"After execution of the â€œquickâ€ consistency checks and execution of the                                                            main reconciliation report, NO issues were identified that require your attention.Please note that, due to a technical limitation in automatic data                                                                 collection,                                                                                                                        we can only identify high-level indicators, which are a general sign of further inconsistencies in financial data.",YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,2,1
Q1C,2025-12-15,Hardware Capacity,The memory consumption of the SAP HANA instance exceeds 90% of the global allocation limit.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,2
Q1C,2025-12-15,Performance Overview,Performance Overview Q1C,GREEN,🟢,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,1,3
Q1C,2025-12-15,SAP HANA Database,SAP HANA database: User SYSTEM is active and valid.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,4
Q1C,2025-12-15,SAP Netweaver Gateway,Gateway Error Logs,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,2,5
Q1C,2025-12-15,SAP System Operating,SAP System Operating Q1C,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,2,6
Q1C,2025-12-15,Security,SAP Software on this system is outdated. Support with SAP Security Notes is no longer ensured.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,7
Q1C,2025-12-15,Service Data Quality and Service Readiness,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,2,8
Q1C,2025-12-15,Software Change and Transport Management,Transportation Management application relevant checks were performed successfully.Potential issues are identified and highlighted below.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,9
Q1C,2025-12-15,Software Configuration,We have listed important recommendations concerning the current software                                                          configuration on your system. These recommendations should be implemented at the earliest opportunity.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,10
Q1C,2025-12-15,UI Technologies checks,Remote Function Call issues that require your attention have been found.                                                          Take action immediately to ensure optimal system performance and stability.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,11
Q1C,2025-12-15,Upgrade Planning,Mainstream / Extended maintenance offered by SAP has expired or will expire in the next 6 months.,RED,🔴,EWA_Q1C~ABAP_20251215_Critical (Yellow).htm,3,12
Q1C,2025-12-22,Financial Data Quality,"After execution of the â€œquickâ€ consistency checks and execution of the                                                            main reconciliation report, NO issues were identified that require your attention.Please note that, due to a technical limitation in automatic data                                                                 collection,                                                                                                                        we can only identify high-level indicators, which are a general sign of further inconsistencies in financial data.",YELLOW,🟡,EWA_Q1C~ABAP_20251222_Critical (Yellow).htm,2,13
Q1C,2025-12-22,Hardware Capacity,The memory consumption of the SAP HANA instance exceeds 90% of the global allocation limit.,RED,🔴,EWA_Q1C~ABAP_20251222_Critical (Yellow).htm,3,14
Q1C,2025-12-22,Performance Overview,The performance of your system was analyzed with respect to the average                                                           response times and total workload. We did not detect any major problems that could affect the performance of your system.,GREEN,🟢,EWA_Q1C~ABAP_20251222_Critical (Yellow).htm,1,15
Q1C,2025-12-22,SAP HANA Database,SAP HANA Resource Consumption,RED,🔴,EWA_Q1C~ABAP_20251222_Critical (Yellow).htm,3,16
