system,report_date,KPI name,kpi_text,status_name,status_symbol,source_file,severity,row_id
A1C,2025-09-30,Financial Data Quality,"After execution of the â€œquickâ€ consistency checks and execution of the                                                            main reconciliation report, NO issues were identified that require your attention.Please note that, due to a technical limitation in automatic data                                                                 collection,                                                                                                                        we can only identify high-level indicators, which are a general sign of further inconsistencies in financial data.",YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,1
A1C,2025-09-30,Hardware Capacity,The trace directory contains a high number of diagnosis files or the files occupy a lot of disk space.,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,2
A1C,2025-09-30,Performance Overview,The performance of your system was analyzed with respect to the average                                                           response times and total workload. We did not detect any major problems that could affect the performance of your system.,GREEN,🟢,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,1,3
A1C,2025-09-30,SAP HANA Database,HANA-A1H: SAP HANA database: No consistency checks are scheduled.,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,4
A1C,2025-09-30,SAP Netweaver Gateway,Gateway Error Logs,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,5
A1C,2025-09-30,SAP System Operating,SAP System Operating A1C,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,6
A1C,2025-09-30,Security,"Users with critical authorizations, which allow to do anything in client 000",RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,7
A1C,2025-09-30,Service Data Quality and Service Readiness,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,8
A1C,2025-09-30,Software Change and Transport Management,Transport execution errors occurred during import into production,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,9
A1C,2025-09-30,Software Configuration,SAP HANA Database Configuration,YELLOW,🟡,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,2,10
A1C,2025-09-30,UI Technologies checks,Remote Function Call issues that require your attention have been found.                                                          Take action immediately to ensure optimal system performance and stability.,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,11
A1C,2025-09-30,Upgrade Planning,Mainstream / Extended maintenance offered by SAP has expired or will expire in the next 6 months.,RED,🔴,EWA_A1C~ABAP_20250930_Critical (Yellow).htm,3,12
A1C,2025-10-07,Financial Data Quality,"After execution of the â€œquickâ€ consistency checks and execution of the                                                            main reconciliation report, NO issues were identified that require your attention.Please note that, due to a technical limitation in automatic data                                                                 collection,                                                                                                                        we can only identify high-level indicators, which are a general sign of further inconsistencies in financial data.",YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,13
A1C,2025-10-07,Hardware Capacity,The trace directory contains a high number of diagnosis files or the files occupy a lot of disk space.,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,14
A1C,2025-10-07,Performance Overview,The performance of your system was analyzed with respect to the average                                                           response times and total workload. We did not detect any major problems that could affect the performance of your system.,GREEN,🟢,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,1,15
A1C,2025-10-07,SAP HANA Database,HANA-A1H: SAP HANA database: No consistency checks are scheduled.,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,16
A1C,2025-10-07,SAP Netweaver Gateway,SAP NetWeaver Gateway,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,17
A1C,2025-10-07,SAP System Operating,SAP System Operating A1C,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,18
A1C,2025-10-07,Security,"Users with critical authorizations, which allow to do anything in client 000",RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,19
A1C,2025-10-07,Service Data Quality and Service Readiness,Service Data Quality and Service Readiness,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,20
A1C,2025-10-07,Software Change and Transport Management,Critical software change management issues were found in your system.See the information in the following sections.,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,21
A1C,2025-10-07,Software Configuration,Software Configuration for A1C,YELLOW,🟡,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,2,22
A1C,2025-10-07,UI Technologies checks,Remote Function Call issues that require your attention have been found.                                                          Take action immediately to ensure optimal system performance and stability.,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,23
A1C,2025-10-07,Upgrade Planning,Mainstream / Extended maintenance offered by SAP has expired or will expire in the next 6 months.,RED,🔴,EWA_A1C~ABAP_20251007_Critical (Yellow).htm,3,24
A1C,2025-10-14,Financial Data Quality,"After execution of the â€œquickâ€ consistency checks and execution of the                                                            main reconciliation report, NO issues were identified that require your attention.Please note that, due to a technical limitation in automatic data                                                                 collection,                                                                                                                        we can only identify high-level indicators, which are a general sign of further inconsistencies in financial data.",YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,25
A1C,2025-10-14,Hardware Capacity,gc_unused_memory_threshold_abs,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,26
A1C,2025-10-14,Performance Overview,The performance of your system was analyzed with respect to the average                                                           response times and total workload. We did not detect any major problems that could affect the performance of your system.,GREEN,🟢,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,1,27
A1C,2025-10-14,SAP HANA Database,HANA-A1H: SAP HANA database: No consistency checks are scheduled.,RED,🔴,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,3,28
A1C,2025-10-14,SAP Netweaver Gateway,SAP NetWeaver Gateway,YELLOW,🟡,EWA_A1C~ABAP_20251014_Critical (Yellow).htm,2,29
